Expenditure category,"Relative
importance
Sep.
2019",2018-10-01,2018/11/01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01
Televisions,0.083,1.874,1.818,1.768,1.772,1.738,1.663,1.637,1.627,1.607,1.580,1.558,1.535,1.506
Other video equipment(6),0.026,9.651,9.497,9.387,9.624,9.806,9.878,9.817,9.729,9.536,9.683,9.523,9.492,9.583
Audio equipment(5),0.044,27.390,26.831,26.611,27.472,26.965,26.982,28.126,27.506,27.276,26.960,27.260,27.508,27.652
Recorded music and music subscriptions(5)(6),0.045,82.190,82.737,82.667,82.799,83.052,83.238,83.171,83.998,84.408,83.689,82.332,79.378,80.003
Pets and pet products(5),0.606,198.551,198.677,199.524,200.421,201.523,202.038,202.827,203.933,203.949,205.094,204.353,204.189,205.062
Pet food(5)(6)(7),,150.916,150.883,151.002,151.723,152.726,153.469,154.079,154.985,155.156,156.355,156.185,155.656,156.534
"Purchase of pets, pet supplies, accessories(5)(6)(7)",,115.082,115.443,116.411,116.707,117.106,116.952,117.332,118.148,117.856,118.122,117.206,117.617,117.826
Sporting goods,0.491,108.666,109.114,113.418,113.080,111.449,112.428,112.275,111.269,111.701,110.648,110.966,112.768,113.309
Sports vehicles including bicycles(5),0.289,144.583,145.303,155.018,154.466,151.855,154.270,153.139,149.633,151.189,150.546,151.113,155.598,156.336
Sports equipment,0.196,78.275,78.507,78.701,78.546,77.697,77.594,78.156,79.010,78.597,77.280,77.403,77.177,77.550
Photographic equipment and supplies,0.034,54.020,54.169,52.285,52.769,51.962,52.264,53.168,52.821,52.949,53.984,55.038,55.911,55.704
Film and photographic supplies(5)(6)(7),,,,,,,,,,,,,,
Photographic equipment(6)(7),,22.419,22.496,21.880,22.075,21.740,21.875,22.223,21.994,22.062,22.541,22.756,23.160,23.393
Recreational reading materials(5),0.115,249.413,250.258,250.376,256.169,249.163,249.330,252.139,254.409,253.678,255.636,258.316,254.051,261.594
Newspapers and magazines(5)(6),0.072,180.878,182.297,181.685,186.346,179.410,180.335,183.107,187.205,188.178,189.072,191.720,188.072,193.881
Recreational books(5)(6),0.043,95.310,94.957,95.586,97.419,96.293,95.684,96.138,94.951,93.414,94.601,95.032,93.871,96.465
Other recreational goods(6),0.306,36.213,35.839,36.014,36.472,36.503,36.114,35.539,35.432,35.311,34.825,34.915,34.761,34.655
Toys,0.237,32.400,31.974,32.011,32.578,32.532,31.996,31.470,31.296,31.158,30.574,30.733,30.720,30.467
"Toys, games, hobbies and playground equipment(6)(7)",,39.734,39.273,39.517,40.351,40.436,40.359,39.829,39.355,39.361,38.410,38.721,38.768,38.270
"Sewing machines, fabric and supplies(5)(6)",0.023,94.784,95.625,102.386,102.169,104.032,106.640,103.868,102.150,102.566,102.863,101.484,98.724,98.994
Music instruments and accessories(5)(6),0.035,101.700,101.372,100.217,98.962,99.464,100.079,99.541,102.009,101.731,102.612,102.203,100.545,103.304
Education and communication commodities(12),0.511,74.531,73.619,73.796,73.314,72.951,72.924,72.445,71.937,71.232,72.164,72.707,71.874,70.638
Educational books and supplies,0.126,691.110,690.333,694.834,686.211,692.467,689.515,688.736,683.088,686.251,683.624,694.264,681.853,676.964
College textbooks(5)(15)(7),,244.307,244.353,239.434,236.214,238.122,238.055,238.826,237.060,238.258,235.942,240.785,235.332,233.943
Information technology commodities(12),0.385,54.119,53.266,53.324,53.077,52.574,52.622,52.183,51.837,51.085,52.041,52.296,51.808,50.747
"Computers, peripherals, and smart home assistant devices(8)",0.300,40.573,39.841,40.110,40.044,39.649,39.889,39.603,39.339,38.586,39.745,40.056,39.730,38.938
Computer software and accessories(5)(6),0.022,32.143,32.262,31.550,31.014,31.123,30.847,29.548,29.658,30.486,29.322,28.997,28.956,28.880
"Telephone hardware, calculators, and other consumer information items(5)(6)",0.064,18.088,17.860,17.594,17.358,17.150,16.837,16.803,16.637,16.505,16.314,16.263,15.977,15.515
Alcoholic beverages,0.960,250.757,251.326,251.131,251.688,252.599,252.087,251.758,252.101,252.538,253.129,253.314,253.261,253.207
Alcoholic beverages at home,0.597,203.847,204.276,204.067,204.723,206.233,205.315,204.671,205.415,205.693,205.990,206.297,205.950,206.087
"Beer, ale, and other malt beverages at home",0.265,227.921,229.570,229.404,229.684,230.449,229.172,228.787,229.200,229.508,230.220,229.826,229.357,231.715
Distilled spirits at home,0.080,192.448,192.646,192.623,194.362,196.867,196.616,194.911,194.627,195.730,196.565,196.647,195.055,192.525
Whiskey at home(5)(7),,202.253,202.916,202.489,207.263,209.502,209.794,206.046,204.719,205.945,210.151,210.739,208.256,204.425
"Distilled spirits, excluding whiskey, at home(5)(7)",,187.980,188.377,189.174,189.766,191.939,191.064,190.380,189.883,190.246,190.607,190.740,189.470,187.640
Wine at home,0.253,170.905,170.396,170.119,170.714,172.406,171.662,171.164,172.397,172.396,172.189,173.089,173.217,172.336
Alcoholic beverages away from home(5),0.363,353.196,354.095,353.965,354.166,353.257,353.967,354.578,353.734,354.570,355.923,355.739,356.532,355.939
"Beer, ale, and other malt beverages away from home(5)(6)(7)",,174.331,175.393,175.415,175.305,175.116,176.121,175.706,174.547,174.813,175.167,174.123,174.701,174.274
Wine away from home(5)(6)(7),,189.994,189.986,190.286,190.953,190.916,190.110,190.417,190.717,191.220,192.218,192.211,192.533,192.476
Distilled spirits away from home(5)(6)(7),,190.270,190.101,189.734,189.292,187.597,188.386,190.253,190.488,190.623,191.416,192.133,192.772,192.569
Other goods(12),1.553,112.184,112.364,111.948,112.542,112.999,113.478,113.805,114.093,113.680,114.358,114.870,114.805,115.657
Tobacco and smoking products,0.674,1081.193,1083.514,1082.248,1085.997,1088.195,1103.240,1105.201,1108.299,1109.099,1120.066,1124.082,1128.109,1134.550
Cigarettes(6),0.598,442.427,443.297,442.799,443.924,444.687,451.502,452.677,453.809,454.043,458.871,460.270,462.169,465.075
Tobacco products other than cigarettes(5)(6),0.060,274.850,275.938,275.643,279.065,280.445,280.186,278.424,280.002,280.684,281.520,284.137,283.590,283.637
Personal care products(5),0.673,161.101,160.790,160.727,161.397,160.772,160.190,160.868,160.588,160.148,161.071,161.094,160.662,161.103
"Hair, dental, shaving, and miscellaneous personal care products(5)(6)",0.373,102.650,102.359,102.476,103.020,102.835,102.405,102.999,103.208,102.701,103.308,102.898,102.563,103.371
"Cosmetics, perfume, bath, nail preparations and implements(5)",0.294,184.692,184.545,184.126,184.632,183.430,182.898,183.312,182.107,182.115,183.130,184.129,183.760,183.061
Miscellaneous personal goods(6),0.206,70.930,71.779,70.115,71.195,73.895,73.872,74.017,75.182,73.658,73.206,74.804,74.276,76.376
"Stationery, stationery supplies, gift wrap(7)",,142.997,146.191,146.011,147.139,149.882,150.187,149.663,149.194,150.073,148.186,149.468,151.621,156.191
Infants' equipment(5)(9)(7),,70.782,72.362,72.419,71.391,70.643,70.127,70.785,71.530,71.713,71.385,71.743,70.294,72.158
Services less energy services,59.916,330.465,330.983,331.478,332.444,333.586,334.518,335.468,336.204,337.197,337.867,338.619,339.377,340.302
Shelter,33.475,310.382,310.950,311.652,312.696,313.880,315.135,316.263,317.188,318.300,319.136,319.679,320.569,320.762
Rent of shelter(16),33.107,323.524,324.118,324.863,325.960,327.206,328.536,329.726,330.698,331.856,332.736,333.319,334.257,334.457
Rent of primary residence,7.988,322.628,323.968,324.815,325.597,326.351,327.513,328.678,329.333,330.648,331.605,332.638,333.834,334.680
Lodging away from home(6),1.002,157.125,147.609,147.956,153.869,161.330,168.321,171.822,176.575,177.637,178.155,171.827,170.792,160.340
"Housing at school, excluding board(16)",0.114,557.111,557.460,557.451,557.738,557.694,557.694,557.596,557.918,558.215,559.100,563.844,568.110,568.913
Other lodging away from home including hotels and motels,0.888,319.628,297.568,298.370,312.038,329.316,345.501,353.615,364.595,367.028,368.157,353.131,350.397,326.134
Owners' equivalent rent of residences(16),24.117,318.215,319.338,320.038,320.789,321.627,322.482,323.426,324.143,325.189,326.023,326.977,327.933,328.762
Owners' equivalent rent of primary residence(16),22.773,318.230,319.352,320.050,320.805,321.648,322.507,323.456,324.175,325.227,326.064,327.015,327.975,328.805
Tenants' and household insurance(5)(6),0.368,151.510,151.699,151.508,151.641,151.737,151.471,151.423,151.569,152.159,152.186,151.777,151.787,151.906
Water and sewer and trash collection services(6),1.094,238.936,241.774,242.204,241.606,242.011,242.611,243.490,243.774,244.322,244.943,245.549,245.903,246.741
Water and sewerage maintenance,0.827,554.109,557.447,559.042,561.114,561.677,563.105,565.470,565.803,567.442,568.911,570.069,571.018,572.912
Garbage and trash collection(5)(14),0.268,472.535,486.650,485.935,475.687,477.474,478.569,479.449,480.865,480.984,482.138,483.987,484.346,486.133
Household operations(5)(6),0.899,186.747,187.223,190.909,191.562,191.011,190.707,191.815,190.641,195.896,197.078,196.889,196.414,197.005
Domestic services(5)(6),0.296,165.555,167.129,169.391,169.954,170.213,170.571,170.575,166.852,167.024,169.409,168.786,167.779,170.404
Gardening and lawncare services(5)(6),0.309,195.439,195.145,,,,198.352,196.376,196.750,208.666,208.755,,210.942,210.975
"Moving, storage, freight expense(6)",0.106,167.975,167.463,170.019,170.937,168.971,169.952,171.256,173.164,175.642,179.379,180.615,178.118,173.947
Repair of household items(5)(6),0.110,251.014,250.960,254.597,257.577,256.638,256.536,272.979,272.648,278.908,,274.062,,269.956
Medical care services,7.063,519.152,520.973,522.506,525.698,527.683,528.575,529.371,531.566,532.956,535.515,539.066,540.813,545.652
Professional services,3.231,378.340,378.260,378.440,379.995,381.248,380.538,380.966,381.651,382.699,383.037,383.162,384.005,384.244
Physicians' services,1.715,380.489,379.872,379.885,382.032,383.009,381.045,382.150,382.436,382.702,383.047,382.858,384.454,384.901
Dental services,0.790,485.116,485.206,485.530,488.792,491.300,492.552,492.415,493.596,498.135,498.939,499.126,499.255,499.402
Eyeglasses and eye care(5)(10),0.312,189.815,190.045,190.620,190.551,190.968,190.796,190.689,191.654,191.768,191.899,192.015,190.799,191.643
Services by other medical professionals(5)(10),0.414,237.344,238.250,238.250,237.356,238.247,238.880,238.339,238.942,239.093,238.987,239.806,240.832,239.906
Hospital and related services,2.602,869.306,872.702,874.395,878.079,878.572,879.731,876.495,878.419,876.501,880.055,887.607,887.196,898.649
Hospital services(17),2.321,332.853,334.242,334.964,336.225,336.234,336.648,335.198,335.966,335.078,336.604,339.781,339.512,344.363
Inpatient hospital services(17)(7),,324.754,324.842,325.763,326.807,327.081,327.814,326.736,327.993,327.548,328.901,330.923,330.796,335.305
Outpatient hospital services(10)(7),,735.745,741.183,742.921,745.491,744.747,745.250,740.741,740.861,738.858,743.442,751.694,750.251,757.469
Nursing homes and adult day services(17),0.194,230.134,230.400,230.506,232.793,233.786,234.279,234.499,234.977,235.366,235.155,235.592,236.491,236.695
Care of invalids and elderly at home(5)(9),0.087,121.981,122.334,122.250,122.695,123.508,123.738,124.084,124.086,124.270,124.503,124.605,124.456,124.834
Health insurance(5)(9),1.230,136.877,138.772,140.543,142.869,144.690,146.549,148.679,150.935,152.891,155.525,158.555,160.768,164.375
Transportation services,5.890,324.131,324.168,322.317,322.216,323.575,323.982,325.114,326.397,326.667,325.105,324.396,324.717,326.582
Leased cars and trucks(5)(15),0.615,89.410,89.249,90.136,89.925,88.488,87.964,87.892,86.809,86.196,86.112,86.095,86.407,86.396
Car and truck rental(6),0.115,127.127,128.326,130.685,123.061,116.274,118.461,119.325,119.604,129.082,141.236,136.209,126.641,129.790
Motor vehicle maintenance and repair(5),1.137,289.057,290.114,289.705,290.758,291.993,294.226,295.266,294.586,295.670,295.377,297.884,298.441,298.925
Motor vehicle body work(5),0.057,305.946,306.043,306.284,306.554,307.830,307.748,310.724,311.140,313.709,314.060,315.707,317.517,318.572
Motor vehicle maintenance and servicing(5),0.645,261.173,262.174,262.573,264.110,264.883,267.155,267.823,267.807,268.853,267.711,270.935,272.279,272.410
Motor vehicle repair(5)(6),0.370,177.090,177.765,176.563,176.627,177.765,179.096,179.958,178.706,179.144,179.872,180.406,179.729,180.317
Motor vehicle insurance,2.347,573.050,573.338,572.824,572.950,574.447,573.087,570.492,568.301,569.079,569.011,568.972,569.106,571.975
Motor vehicle fees(5)(6),0.543,189.382,190.018,189.620,190.909,191.515,191.578,192.022,192.330,192.175,192.534,192.528,193.711,194.724
State motor vehicle registration and license fees(5)(6),0.279,178.703,179.173,179.162,179.335,179.698,179.479,179.795,179.750,179.526,180.027,180.598,181.871,183.034
Parking and other fees(5)(6),0.246,206.671,207.546,206.626,209.385,210.336,210.774,211.389,212.162,212.101,212.279,211.506,212.637,213.484
Parking fees and tolls(6)(7),,233.754,235.060,234.580,236.509,237.125,237.450,238.223,239.304,239.500,239.978,238.821,240.326,239.837
Automobile service clubs(5)(6)(7),,,,,,,,,,,,,,
Public transportation,1.133,258.420,256.986,248.489,248.142,254.643,256.023,261.903,271.370,269.935,261.165,257.167,258.612,261.927
Airline fares,0.684,265.930,263.809,248.290,248.433,259.049,259.698,268.767,283.275,283.001,268.314,259.849,263.149,269.871
Other intercity transportation,0.165,157.104,156.471,159.050,156.605,156.586,159.878,162.213,162.661,159.943,158.877,161.224,160.679,156.959
Intercity bus fare(5)(8)(7),,129.289,132.932,143.408,140.260,135.272,147.392,151.651,154.854,155.238,153.706,157.198,159.158,155.056
Intercity train fare(5)(8)(7),,,,,,,,,,,,,,
Ship fare(5)(6)(7),,66.386,65.971,65.424,64.605,65.128,66.249,67.111,66.992,65.070,64.359,65.121,64.801,63.926
Intracity transportation(5),0.276,318.701,318.699,319.570,320.203,321.011,322.114,321.668,325.265,322.159,323.420,326.006,324.016,324.915
Intracity mass transit(5)(12)(7),,128.177,128.177,128.226,128.408,128.398,128.673,128.673,130.168,130.178,130.496,130.642,130.405,130.550
Recreation services(12),3.844,122.024,122.617,122.865,123.367,123.726,124.417,124.580,123.810,123.685,123.851,124.347,124.129,124.857
Video and audio services(12),1.586,125.444,125.821,125.828,126.574,127.455,127.916,127.394,126.992,126.832,126.662,127.444,127.888,128.238
Cable and satellite television service(14),1.499,470.687,472.254,473.126,475.061,477.965,479.506,477.678,476.355,475.287,475.860,478.811,480.344,482.189
"Video discs and other media, including rental of video(5)(6)",0.087,74.212,74.034,71.779,74.527,76.116,76.893,76.236,75.507,76.659,73.329,73.750,74.370,73.156
Video discs and other media(5)(6)(7),,38.818,38.568,36.767,38.789,40.004,40.284,39.443,39.166,39.682,37.218,37.502,37.414,36.364
Rental of video discs and other media(5)(6)(7),,130.699,130.450,130.584,129.370,129.457,132.573,134.836,133.271,136.189,136.848,136.848,137.675,137.535
Pet services including veterinary(6),0.421,247.035,246.941,247.595,248.788,250.857,251.375,251.954,252.744,253.381,254.777,255.066,255.265,255.844
Pet services(5)(6)(7),,194.231,194.404,194.520,195.373,196.020,194.408,194.783,194.787,195.595,196.514,195.638,196.516,
Veterinarian services(6)(7),,259.159,258.617,259.336,260.653,263.218,264.507,265.119,266.297,266.959,268.492,269.209,269.362,269.832
Photographers and photo processing(5)(6),0.036,122.944,124.712,124.814,122.532,122.250,121.887,120.359,121.261,120.110,120.114,117.877,117.602,119.006
Photographer fees(5)(6)(7),,,,,128.145,123.632,121.975,121.975,124.147,124.426,,,121.126,122.927
Photo processing(5)(6)(7),,110.910,113.982,114.068,112.601,116.121,117.595,114.236,113.242,111.245,111.352,112.180,111.753,112.360
Other recreation services(6),1.800,168.504,169.763,170.380,170.859,170.562,171.979,173.024,171.088,170.840,171.309,171.870,170.683,172.276
"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees(5)(6)",0.667,139.847,141.997,141.454,142.221,143.416,143.262,143.983,140.975,140.561,141.982,142.489,141.790,143.243
Admissions,0.648,380.277,380.427,387.063,387.181,380.941,388.264,391.745,390.261,389.811,388.644,390.294,387.043,391.579
"Admission to movies, theaters, and concerts(5)(6)(7)",,183.282,182.109,182.899,182.806,183.353,184.355,184.811,186.395,185.882,186.611,187.345,186.828,188.214
Admission to sporting events(5)(6)(7),,220.902,220.513,231.286,231.572,214.823,226.098,232.260,224.952,224.517,223.008,225.016,221.414,223.859
Fees for lessons or instructions(5)(10),0.215,315.765,317.633,315.449,316.052,317.446,319.770,320.038,319.871,320.552,320.314,320.148,317.051,316.647
Education and communication services(12),6.011,110.568,109.993,109.965,110.098,110.245,110.173,110.323,110.405,110.625,110.721,111.138,111.471,111.739
"Tuition, other school fees, and childcare",2.922,753.806,754.358,754.380,754.578,755.755,756.751,756.908,757.945,759.028,759.965,765.726,770.457,772.258
College tuition and fees,1.618,858.998,859.711,859.588,858.041,858.687,860.066,860.065,859.922,859.798,859.365,868.320,873.995,876.145
Elementary and high school tuition and fees,0.338,858.747,858.484,857.724,857.724,858.639,858.737,859.158,858.501,860.936,866.985,874.845,877.355,881.433
Child care and nursery school(13),0.813,296.740,297.048,297.288,298.690,299.732,300.186,300.278,301.850,303.008,303.632,304.401,306.478,306.811
Technical and business school tuition and fees(6),0.032,253.242,253.177,253.127,252.263,252.230,250.855,252.136,253.305,254.372,256.475,251.953,254.333,254.787
Postage and delivery services(6),0.111,185.310,185.310,184.858,188.597,195.230,195.278,195.310,195.317,195.341,195.329,195.293,195.286,195.409
Postage,0.098,289.966,289.966,289.966,295.431,307.042,307.042,307.042,307.042,307.042,307.042,307.042,307.042,307.042
Delivery services(6),0.014,311.997,312.000,306.095,315.201,317.394,318.026,318.440,318.536,318.841,318.691,318.221,318.128,319.733
Telephone services(5)(6),2.201,90.417,88.976,88.886,88.893,88.861,88.859,89.004,89.069,89.237,89.346,89.300,89.518,89.746
Wireless telephone services(5)(6),1.618,47.701,46.633,46.534,46.465,46.399,46.342,46.427,46.400,46.458,46.431,46.368,46.322,46.299
Land-line telephone services(5)(12),0.583,116.666,117.060,117.321,117.866,118.186,118.592,118.711,119.250,119.688,120.449,120.669,122.137,123.474
Internet services and electronic information providers(6),0.768,76.434,76.673,76.758,77.164,77.213,76.456,76.849,76.739,77.101,76.993,77.168,76.638,76.840
Other personal services(5)(12),1.640,123.372,123.803,124.007,123.899,124.585,124.262,124.025,124.393,124.524,125.097,125.303,125.434,125.647
Personal care services(5),0.630,266.758,267.024,268.225,268.556,269.302,269.664,269.459,269.429,269.941,271.295,272.385,272.645,273.425
Haircuts and other personal care services(5)(6),0.630,162.766,162.928,163.661,163.863,164.319,164.539,164.414,164.396,164.708,165.534,166.200,166.358,166.834
Miscellaneous personal services,1.010,444.485,446.727,446.678,445.705,448.936,446.680,445.511,447.689,447.923,449.868,449.945,450.439,450.882
Legal services(5)(10),0.302,363.273,368.049,367.877,363.948,367.054,367.076,362.839,362.964,363.152,365.428,365.428,365.193,365.193
Funeral expenses(5)(10),0.127,334.042,334.515,334.618,334.714,335.216,335.913,336.752,338.063,337.998,338.257,338.612,338.776,339.009
Laundry and dry cleaning services(5)(6),0.243,171.696,171.582,171.983,172.213,172.911,174.213,174.748,175.187,175.869,176.177,176.628,177.497,177.734
Apparel services other than laundry and dry cleaning(5)(6),0.029,191.136,193.626,195.220,194.982,195.396,196.607,195.034,194.846,196.782,198.693,198.585,198.295,200.907
Financial services(10),0.236,364.499,365.094,363.921,365.177,369.746,359.064,359.451,364.530,363.222,365.323,364.348,364.385,364.582
Checking account and other bank services(5)(6)(7),,172.142,172.142,172.063,172.297,172.297,172.297,172.297,172.297,172.297,172.297,172.297,172.382,172.617
Tax return preparation and other accounting fees(6)(7),,254.755,255.444,254.724,256.585,262.951,244.686,245.159,254.104,252.936,254.470,254.009,254.009,254.064
,,,,,,,,,,,,,,
Special aggregate indexes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
All items less food,86.755,252.636,251.657,250.605,250.974,252.077,253.643,255.194,255.759,255.825,256.286,256.250,256.401,256.973
All items less shelter,66.525,233.231,231.856,230.492,230.765,231.792,233.290,234.723,235.131,234.791,235.071,234.853,234.802,235.538
All items less food and shelter,53.280,227.577,225.902,224.062,224.129,225.199,226.909,228.655,229.061,228.659,228.952,228.658,228.479,229.222
"All items less food, shelter, and energy",45.759,230.517,230.278,229.872,230.902,231.788,232.222,232.380,232.280,232.585,232.735,233.367,233.432,234.150
"All items less food, shelter, energy, and used cars and trucks",43.410,236.373,235.969,235.524,236.570,237.480,237.836,238.012,238.051,238.200,238.181,238.745,239.317,240.116
All items less medical care,91.260,241.728,240.766,239.900,240.270,241.335,242.776,244.134,244.629,244.653,245.000,244.836,245.020,245.418
All items less energy,92.479,257.653,257.692,257.794,258.855,259.817,260.505,260.925,261.203,261.696,262.059,262.592,262.969,263.527
Commodities,36.742,186.071,184.077,181.754,181.815,183.001,184.993,186.884,187.236,186.112,186.319,185.686,185.508,186.012
"Commodities less food, energy, and used cars and trucks",16.969,145.724,144.816,144.001,145.104,145.854,146.120,145.964,145.740,145.462,145.166,145.392,145.933,145.948
Commodities less food,23.498,155.254,152.676,149.403,149.079,150.341,152.742,155.187,155.507,154.073,154.270,153.408,153.002,153.421
Commodities less food and beverages,22.538,151.937,149.295,145.964,145.620,146.883,149.344,151.843,152.161,150.688,150.874,149.991,149.578,150.007
Services,63.258,318.699,319.034,319.794,320.695,321.623,322.456,323.228,323.964,325.218,325.866,326.489,327.076,327.744
Services less rent of shelter(16),30.151,337.770,337.836,338.672,339.422,340.062,340.396,340.756,341.281,342.741,343.177,343.892,344.128,345.375
Services less medical care services,56.194,303.469,303.695,304.397,305.131,305.981,306.807,307.576,308.204,309.446,309.955,310.364,310.866,311.231
Durables,9.759,103.726,103.913,104.169,104.808,105.042,105.379,105.178,104.849,105.167,105.369,105.331,104.385,104.263
Nondurables,26.983,228.816,225.342,221.263,220.860,222.655,225.714,229.028,229.875,227.749,227.936,226.909,227.358,228.294
Nondurables less food,13.739,206.470,200.436,192.750,191.151,193.659,198.584,204.336,205.504,201.854,202.021,200.141,200.521,201.629
Nondurables less food and beverages,12.779,203.673,197.258,189.142,187.418,190.018,195.255,201.358,202.572,198.687,198.829,196.830,197.235,198.410
"Nondurables less food, beverages, and apparel",9.728,254.582,246.629,236.038,232.074,234.377,242.842,252.960,255.619,249.683,250.877,246.714,245.336,247.773
Nondurables less food and apparel,10.688,253.050,245.875,236.236,232.683,234.854,242.500,251.663,254.108,248.754,249.890,246.124,244.867,247.077
Housing,42.315,260.268,260.473,261.360,262.284,263.057,263.886,264.452,265.137,266.461,267.101,267.263,267.822,267.794
Education and communication(6),6.522,137.776,136.981,136.976,137.055,137.168,137.082,137.182,137.199,137.344,137.595,138.154,138.409,138.529
Education(6),3.048,262.947,263.119,263.199,263.125,263.620,263.905,263.944,264.199,264.612,264.882,266.979,268.357,268.878
Communication(6),3.474,73.862,73.031,73.007,73.103,73.097,72.943,73.032,72.989,73.034,73.219,73.272,73.195,73.190
Information and information processing(6),3.363,69.964,69.153,69.134,69.184,69.100,68.950,69.037,68.994,69.038,69.218,69.271,69.196,69.189
"Information technology, hardware and services(18)",1.162,7.459,7.434,7.442,7.457,7.436,7.390,7.394,7.371,7.358,7.397,7.420,7.363,7.325
Recreation(6),5.602,118.850,119.147,119.705,120.265,120.306,120.743,120.821,120.254,120.145,120.128,120.458,120.357,120.982
Video and audio(6),1.791,103.959,103.995,103.800,104.478,105.000,105.119,104.750,104.381,104.162,103.922,104.380,104.552,104.763
"Pets, pet products and services(6)",1.027,173.449,173.488,174.113,174.918,176.081,176.496,177.070,177.868,178.059,179.051,178.751,178.723,179.340
Photography(6),0.072,74.605,75.273,74.095,73.672,73.073,73.161,73.238,73.309,73.024,73.694,73.621,74.095,74.422
Food and beverages,14.205,254.203,254.262,255.023,256.185,256.997,257.430,257.393,257.791,257.778,258.015,258.154,258.646,259.284
Domestically produced farm food,5.990,247.519,247.172,247.826,248.889,249.510,250.216,249.685,249.781,249.146,249.258,248.907,249.339,250.212
Other services,11.494,355.315,355.096,355.373,356.039,356.916,357.332,357.646,357.190,357.493,358.051,359.320,359.723,360.968
Apparel less footwear,2.378,122.582,118.031,113.249,114.946,118.417,118.637,118.538,117.389,116.544,114.704,115.904,119.572,118.528
Fuels and utilities,4.610,240.641,239.691,242.343,242.374,241.549,241.550,240.773,241.390,244.703,245.205,244.540,243.643,242.207
Household energy,3.516,199.381,197.632,200.390,200.575,199.581,199.429,198.366,198.961,202.402,202.787,201.914,200.855,199.089
Medical care,8.740,485.269,486.886,487.409,490.204,491.227,492.306,493.331,494.928,495.563,497.687,500.916,501.468,506.100
Transportation,16.372,213.482,209.924,204.541,202.570,204.236,208.836,214.142,215.391,213.073,213.405,211.084,209.350,210.487
Private transportation,15.239,209.429,205.769,200.605,198.551,199.920,204.680,209.918,210.674,208.319,209.185,206.979,205.068,206.070
New and used motor vehicles(6),6.827,98.425,98.900,99.147,99.548,99.491,99.975,99.984,99.416,99.874,100.371,100.407,98.751,98.684
Utilities and public transportation,9.268,216.596,215.390,215.975,216.114,216.505,216.735,216.953,218.195,219.709,219.139,218.690,218.639,218.527
Household furnishings and operations,4.230,122.038,121.778,122.265,123.334,123.750,123.746,123.345,123.344,124.237,124.361,123.818,124.183,124.256
Other goods and services,3.193,444.334,445.480,445.059,446.000,448.150,448.471,448.658,449.896,449.345,451.709,453.074,453.193,455.225
Personal care(5),2.519,231.401,232.024,231.818,232.227,233.515,232.888,232.902,233.542,233.136,234.077,234.749,234.603,235.578
