Indent Level,Expenditure category,"Relative
importance
Sep.
2021",2020-10-01,2020/11/01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01
5,Prescription drugs,1.076,527.649,526.167,525.244,525.434,521.231,521.375,523.876,522.116,519.861,519.957,519.729,521.506,523.862
5,Nonprescription drugs(4)(11),0.355,96.251,96.342,95.941,94.853,94.293,94.507,95.538,96.211,95.965,96.562,95.847,95.929,96.887
4,Medical equipment and supplies(4)(11),0.066,97.591,92.429,92.219,95.402,95.782,95.379,94.864,96.003,95.452,95.572,96.435,97.362,97.624
3,Recreation commodities(11),1.969,78.995,79.089,79.188,79.553,80.041,79.807,80.709,81.015,80.703,81.085,81.919,81.803,82.136
4,Video and audio products(11),0.264,37.218,36.744,36.593,36.560,36.596,36.574,37.094,37.206,37.357,37.544,38.057,37.856,37.593
5,Televisions,0.099,1.350,1.343,1.337,1.362,1.386,1.374,1.407,1.436,1.467,1.497,1.545,1.534,1.490
5,Other video equipment(5),0.041,9.941,9.596,9.623,9.937,9.909,9.883,10.015,10.032,9.805,9.632,9.882,9.985,9.810
5,Audio equipment(4),0.069,27.347,26.916,26.826,25.936,25.480,25.766,25.947,25.484,25.263,25.413,25.187,24.748,25.340
5,Recorded music and music subscriptions(4)(5),0.043,81.271,80.883,79.919,78.718,78.734,78.508,79.290,79.481,80.348,79.624,79.549,79.820,79.954
4,Pets and pet products(4),0.614,199.186,200.897,201.995,202.042,202.178,202.372,203.299,203.247,202.727,205.637,205.495,206.448,206.487
5,Pet food(4)(5)(6),,153.825,155.057,155.040,154.958,155.237,155.473,155.767,155.278,155.513,156.406,156.024,156.843,157.035
5,"Purchase of pets, pet supplies, accessories(4)(5)(6)",,112.545,113.746,115.050,115.225,115.241,115.238,116.174,116.309,115.017,118.585,118.987,118.912,118.610
4,Sporting goods(4),0.605,114.921,115.564,116.400,117.219,119.020,117.459,118.879,120.713,120.742,120.636,123.413,122.967,124.886
5,Sports vehicles including bicycles(4),0.369,160.308,161.063,159.730,160.236,163.468,161.139,163.224,167.891,168.646,167.529,172.229,171.661,174.922
5,Sports equipment(4),0.226,77.232,77.770,80.282,81.320,81.981,81.039,81.909,81.523,80.991,81.672,82.889,82.573,83.399
4,Photographic equipment and supplies,0.027,56.541,56.901,56.028,56.809,57.639,57.379,57.380,57.706,57.993,58.835,59.483,59.686,59.668
5,Photographic equipment(5)(6),,23.384,23.623,23.527,23.952,24.122,24.093,24.165,24.309,24.421,24.745,24.989,25.002,25.094
4,Recreational reading materials(4),0.115,269.735,270.007,271.818,274.619,273.091,271.754,275.956,274.272,270.474,272.834,274.180,274.225,274.424
5,Newspapers and magazines(4)(5),0.067,199.210,201.152,201.633,205.939,205.781,205.993,209.125,206.494,203.258,205.213,206.990,206.844,208.246
5,Recreational books(4)(5),0.047,99.908,98.890,100.111,99.671,98.427,97.039,98.641,98.869,97.778,98.472,98.455,98.605,97.840
4,Other recreational goods(5),0.344,33.490,33.203,32.785,33.108,33.348,33.572,34.210,34.041,33.490,33.334,33.566,33.359,33.379
5,Toys,0.263,29.002,28.717,28.618,28.969,29.161,29.188,29.789,29.514,28.956,28.849,29.010,28.850,28.873
6,"Toys, games, hobbies and playground equipment(5)(6)",,37.513,36.937,36.890,37.571,37.504,37.874,38.552,38.014,37.106,36.954,37.348,37.389,37.538
5,"Sewing machines, fabric and supplies(4)(5)",0.019,101.861,102.029,91.373,93.216,95.392,97.041,101.855,102.574,103.053,100.908,98.574,95.714,96.018
5,Music instruments and accessories(4)(5),0.046,106.023,105.173,102.637,101.921,102.352,106.129,105.651,107.266,106.141,105.834,108.771,108.860,108.802
3,Education and communication commodities(11),0.488,67.113,67.458,67.662,67.340,67.284,66.050,68.167,68.439,68.329,68.950,68.926,69.294,68.808
4,Educational books and supplies(4),0.104,683.131,681.564,686.054,684.568,693.357,677.099,686.521,691.128,691.804,695.360,687.667,685.005,685.851
5,College textbooks(4)(14)(6),,234.783,233.731,235.545,235.084,238.366,232.958,235.133,236.375,236.796,238.535,235.954,235.282,235.351
4,Information technology commodities(11),0.384,47.355,47.697,47.794,47.532,47.311,46.512,48.241,48.397,48.285,48.776,48.904,49.288,48.832
5,"Computers, peripherals, and smart home assistants(4)(7)",0.299,37.201,37.964,38.315,38.316,38.204,37.453,39.358,39.611,39.662,40.135,40.184,40.649,40.310
5,Computer software and accessories(4)(5),0.016,25.002,26.142,26.590,26.280,26.186,26.635,26.131,26.386,25.908,25.782,25.982,25.083,25.902
5,"Telephone hardware, calculators, and other consumer information items(5)",0.069,13.574,12.943,12.579,12.263,12.120,11.950,11.913,11.774,11.613,11.686,11.773,11.799,11.527
5,Smartphones,,89.345,83.776,81.222,81.345,79.910,76.841,75.802,75.430,75.152,75.203,75.063,73.503,70.892
3,Alcoholic beverages,1.006,258.936,259.995,259.397,259.765,260.011,260.652,261.265,261.711,262.913,263.226,264.315,264.980,264.748
4,Alcoholic beverages at home,0.561,210.418,211.002,210.074,210.458,210.730,211.263,211.526,212.051,212.838,213.054,213.750,214.075,213.596
5,"Beer, ale, and other malt beverages at home",0.217,238.502,240.856,239.104,239.160,239.803,241.398,239.532,241.243,243.565,243.653,243.687,244.352,243.325
5,Distilled spirits at home(4),0.092,197.594,197.461,197.618,199.253,200.616,200.344,200.910,201.658,201.967,202.202,202.678,203.872,204.511
6,Whiskey at home(4)(6),,211.596,211.826,211.197,213.064,214.867,211.170,210.728,212.232,212.423,211.943,213.328,214.278,215.554
6,"Distilled spirits, excluding whiskey, at home(4)(6)",,193.517,193.242,193.642,195.557,196.809,197.336,198.695,198.766,198.708,199.686,199.427,201.275,201.459
5,Wine at home,0.252,174.045,173.699,173.041,173.193,172.866,172.939,174.389,174.056,173.962,174.227,175.322,175.130,174.691
4,Alcoholic beverages away from home(4),0.446,365.392,367.500,367.636,367.968,368.156,369.031,370.416,370.685,372.805,373.331,375.285,376.700,377.016
5,"Beer, ale, and other malt beverages away from home(4)(5)(6)",,177.245,178.846,179.773,179.841,179.983,181.164,181.963,182.063,182.013,182.580,183.623,184.141,184.245
5,Wine away from home(4)(5)(6),,197.211,198.046,198.326,198.230,198.012,198.853,199.381,199.666,199.755,199.811,200.556,201.915,202.345
5,Distilled spirits away from home(4)(5)(6),,203.421,204.911,204.314,204.712,204.856,204.175,204.538,204.621,207.886,207.504,207.652,208.337,208.311
3,Other goods(11),1.447,116.719,117.292,117.242,118.508,118.900,119.178,119.706,119.541,119.682,119.912,120.354,120.453,121.924
4,Tobacco and smoking products(4),0.608,1186.127,1192.609,1199.508,1220.942,1228.750,1236.352,1238.348,1240.082,1247.577,1253.276,1254.492,1263.542,1287.067
5,Cigarettes(4)(5),0.530,487.648,490.481,493.672,502.735,506.058,509.124,509.948,510.579,514.294,516.725,517.138,520.983,531.816
5,Tobacco products other than cigarettes(4)(5),0.059,288.945,289.619,289.385,293.502,295.071,297.424,297.791,298.916,297.604,298.569,299.304,300.878,300.842
4,Personal care products(4),0.648,159.704,159.758,158.846,159.785,160.214,159.962,160.308,159.678,159.296,159.111,159.966,159.755,160.038
5,"Hair, dental, shaving, and miscellaneous personal care products(4)(5)",0.349,103.995,103.600,102.763,103.209,103.459,103.394,103.675,103.926,103.538,104.221,104.098,103.769,104.304
5,"Cosmetics, perfume, bath, nail preparations and implements(4)",0.291,178.135,179.082,178.552,179.952,180.497,180.006,180.289,178.222,178.072,176.207,178.556,178.720,178.309
4,Miscellaneous personal goods(4)(5),0.191,73.425,74.840,74.749,75.182,74.866,75.150,76.739,76.633,76.484,76.792,77.297,76.373,78.449
5,"Stationery, stationery supplies, gift wrap(6)",,153.968,159.610,158.543,159.876,159.109,159.374,160.702,160.899,161.781,160.401,160.595,161.069,166.672
2,Services less energy services,58.016,346.220,346.884,346.808,347.190,348.361,349.607,351.265,352.721,354.250,355.375,355.423,355.962,357.469
3,Shelter,32.576,327.273,327.435,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671
4,Rent of shelter(15),32.231,341.341,341.501,341.779,342.373,343.181,344.364,345.661,346.824,348.684,350.358,350.863,352.081,353.377
5,Rent of primary residence,7.613,343.615,344.039,344.455,344.758,345.242,345.717,346.267,347.016,347.833,348.469,349.710,351.255,352.892
5,Lodging away from home(5),1.024,138.300,135.954,133.538,136.034,138.283,147.470,158.737,163.276,175.746,187.487,178.758,174.644,169.076
6,"Housing at school, excluding board(15)",0.114,582.477,582.477,582.440,582.375,582.857,582.769,582.742,582.956,583.363,584.926,589.687,592.683,593.272
6,Other lodging away from home including hotels and motels,0.910,274.203,268.801,263.245,268.995,274.134,295.285,321.218,331.650,360.319,387.224,366.772,357.078,344.218
5,Owners' equivalent rent of residences(15),23.594,336.965,337.247,337.695,338.181,338.918,339.565,340.162,341.095,342.258,343.293,344.327,345.824,347.522
6,Owners' equivalent rent of primary residence(15),22.408,336.993,337.270,337.721,338.210,338.947,339.589,340.184,341.115,342.278,343.311,344.346,345.840,347.535
5,Tenants' and household insurance(4)(5),0.346,151.186,151.634,151.786,152.493,150.665,150.460,150.559,150.423,150.608,150.710,150.428,150.920,150.535
4,Water and sewer and trash collection services(5),1.081,254.781,255.650,256.456,257.722,258.763,259.204,259.581,259.542,260.400,261.706,262.810,263.747,264.278
5,Water and sewerage maintenance,0.787,590.957,592.998,594.169,596.237,597.584,598.452,599.614,600.405,602.795,605.224,607.339,607.938,609.541
5,Garbage and trash collection(4)(13),0.294,503.315,504.970,508.190,512.722,517.270,518.505,518.579,516.440,517.202,521.185,524.408,529.934,530.114
4,Household operations(4)(5),0.893,202.375,201.664,205.655,207.123,207.736,207.952,209.136,215.682,213.658,214.057,215.646,215.125,216.240
5,Domestic services(4)(5),0.302,177.230,175.357,180.933,183.296,183.766,184.038,185.429,197.341,191.889,193.025,194.844,190.314,190.481
5,Gardening and lawncare services(4)(5),0.301,,,,,,,219.432,220.122,219.289,219.289,220.304,224.575,227.047
5,"Moving, storage, freight expense(4)(5)",0.096,181.440,181.913,180.942,184.576,185.829,183.084,186.531,196.825,200.810,198.539,201.935,200.298,195.817
5,Repair of household items(4)(5),,,269.549,,272.086,274.327,275.549,282.250,282.589,,,,,
4,Medical care services,7.024,565.999,565.345,564.201,568.778,572.378,573.009,572.108,571.255,570.509,571.934,573.500,572.559,575.493
5,Professional services,3.578,392.273,392.062,391.877,395.911,400.762,401.208,400.834,401.147,401.227,402.687,403.860,403.271,403.378
6,Physicians' services(4),1.794,392.099,392.156,391.807,397.892,405.897,407.048,405.869,405.744,406.812,408.445,408.490,407.266,407.391
6,Dental services,0.974,514.706,514.692,514.957,516.519,520.210,519.424,520.273,520.102,520.101,522.700,526.559,525.887,525.795
6,Eyeglasses and eye care(4)(9),0.350,194.162,193.143,192.930,192.378,193.394,193.179,193.166,194.638,192.457,192.923,194.621,194.574,194.892
6,Services by other medical professionals(4)(9),0.460,243.578,243.437,243.320,247.153,246.671,247.069,247.246,247.784,247.745,247.804,247.804,248.614,248.614
5,Hospital and related services,2.370,925.515,927.819,928.006,936.837,939.095,944.047,945.329,944.680,945.145,949.676,955.940,957.583,963.080
6,Hospital services(16),2.176,354.289,355.164,355.232,358.733,359.521,361.468,361.585,361.285,361.384,363.254,365.843,366.394,368.593
7,Inpatient hospital services(16)(6),,343.190,343.942,343.512,346.381,347.602,348.994,349.651,349.541,349.254,351.345,354.945,355.187,357.105
7,Outpatient hospital services(9)(6),,773.631,775.166,775.417,784.494,784.471,789.733,785.951,785.713,788.007,790.199,794.254,795.813,800.132
6,Nursing homes and adult day services(16),0.122,243.444,244.146,243.926,245.250,247.128,248.129,248.938,249.121,249.493,249.876,250.098,251.227,252.068
6,Care of invalids and elderly at home(4)(8),0.072,133.222,133.541,133.861,134.678,134.684,135.085,139.128,139.297,140.041,139.893,139.925,140.411,140.678
5,Health insurance(4)(8),1.076,181.128,179.297,177.311,177.079,176.390,175.082,173.396,171.600,169.900,168.868,167.834,166.229,169.540
4,Transportation services,5.018,309.965,315.554,312.959,311.312,313.160,316.345,324.519,331.188,335.548,332.917,325.652,321.673,323.903
5,Leased cars and trucks(4)(14),,,,,82.018,,,,,,,,,
5,Car and truck rental(5),0.172,142.362,147.717,142.452,133.433,140.829,161.023,184.210,202.640,226.888,236.797,212.070,192.339,198.085
5,Motor vehicle maintenance and repair(4),1.079,308.569,309.949,309.888,310.662,311.627,314.660,315.177,314.164,315.209,318.031,320.504,320.446,325.095
6,Motor vehicle body work(4),0.059,328.680,328.222,327.931,329.361,331.320,333.865,336.014,337.399,341.753,342.214,347.305,347.886,351.035
6,Motor vehicle maintenance and servicing(4),0.623,278.545,280.385,280.533,280.494,281.643,283.593,284.623,284.487,285.505,286.585,287.834,289.802,294.186
6,Motor vehicle repair(4)(5),0.338,189.548,189.791,189.525,190.854,191.095,193.984,193.512,191.667,191.865,195.676,198.203,195.587,198.456
5,Motor vehicle insurance,1.575,531.217,537.765,545.376,551.552,560.386,565.166,567.509,569.010,569.656,567.463,566.183,566.211,564.507
5,Motor vehicle fees(4)(5),0.546,196.587,196.012,195.481,196.997,197.841,197.156,197.187,197.634,197.585,198.421,198.251,198.675,198.275
6,State motor vehicle registration and license fees(4)(5),0.283,185.496,185.702,185.678,186.013,186.228,186.169,186.164,186.128,186.065,186.281,186.571,186.551,186.569
6,Parking and other fees(4)(5),0.248,214.627,213.018,211.789,214.896,216.585,215.090,215.160,216.253,216.216,217.872,217.108,218.099,217.141
7,Parking fees and tolls(5)(6),,242.389,242.645,241.017,247.097,247.356,245.714,245.292,248.537,248.437,250.660,249.197,250.881,249.743
5,Public transportation,1.043,224.953,230.478,220.685,217.500,216.869,218.036,235.401,252.454,257.579,249.703,229.893,219.394,222.577
6,Airline fares,0.580,215.993,223.360,205.983,200.825,197.204,197.134,222.953,250.209,256.684,243.613,212.882,198.975,205.994
6,Other intercity transportation,0.175,151.258,156.019,160.162,159.675,159.951,162.114,163.933,166.380,167.283,165.829,165.504,162.105,158.209
7,Ship fare(4)(5)(6),,59.407,60.947,63.244,63.907,64.389,64.786,65.486,66.060,66.430,66.232,66.476,64.886,62.715
6,Intracity transportation(4),0.285,309.809,309.338,309.029,309.540,317.766,321.568,327.319,325.914,330.963,333.603,329.094,322.801,321.476
7,Intracity mass transit(4)(11)(6),,118.367,118.171,118.139,117.460,122.498,125.807,125.807,125.695,127.206,127.317,127.364,126.965,126.965
4,Recreation services(11),3.703,128.127,128.741,128.138,126.944,127.933,129.006,129.797,129.892,130.356,131.140,131.474,131.883,132.976
5,Video and audio services(11),1.246,133.678,133.594,134.200,133.747,135.256,136.033,135.922,136.015,137.057,137.900,138.396,138.795,138.679
6,Cable and satellite television service(13),1.172,505.518,507.017,509.545,507.562,512.696,516.234,516.709,516.933,521.305,524.411,525.761,527.652,527.003
6,"Video discs and other media, including rental of video(4)(5)",0.074,69.794,66.089,65.931,66.232,68.179,67.377,65.510,65.819,65.492,66.097,67.418,66.850,67.220
7,Video discs and other media(4)(5)(6),,34.375,32.284,32.056,32.234,33.826,33.328,31.956,32.434,32.513,32.841,32.951,32.210,33.124
7,Rental of video discs and other media(4)(5)(6),,137.078,136.227,137.522,139.211,139.028,138.819,138.812,138.818,138.896,137.077,139.141,140.137,140.102
5,Pet services including veterinary(5),0.549,265.600,265.541,265.951,270.153,271.365,271.674,272.507,274.389,274.462,273.772,274.420,274.898,276.029
6,Veterinarian services(5)(6),,280.975,281.293,281.656,285.033,286.637,285.777,286.369,289.945,290.147,287.732,288.233,288.913,290.044
5,Photographers and photo processing(4)(5),0.042,123.711,123.269,120.926,121.776,124.256,123.610,123.257,123.379,122.753,123.984,123.208,123.267,123.495
5,Other recreation services(5),1.865,174.274,176.019,173.883,170.235,171.279,173.456,175.527,175.337,175.696,177.167,177.538,178.200,181.010
6,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees(4)(5)",0.659,144.308,144.728,145.185,145.086,145.500,145.734,146.026,145.417,145.415,146.031,146.267,146.223,146.754
6,Admissions(4),0.681,395.011,401.761,388.750,367.426,372.105,381.683,394.708,396.158,394.897,400.229,401.483,405.305,418.100
7,"Admission to movies, theaters, and concerts(4)(5)(6)",,187.632,189.093,189.497,189.962,191.180,193.267,193.202,192.026,193.830,197.176,195.903,195.781,196.023
7,Admission to sporting events(4)(5)(6),,,,,186.073,195.263,204.443,225.058,228.351,223.214,226.134,229.099,229.470,248.438
6,Fees for lessons or instructions(4)(9),0.213,327.303,332.168,331.694,338.351,338.165,340.877,335.978,333.620,342.809,343.407,343.802,341.669,341.557
4,Education and communication services(11),6.082,114.784,114.794,114.780,114.829,114.944,114.769,114.880,115.071,115.237,115.339,115.888,116.536,116.748
5,"Tuition, other school fees, and childcare",2.830,782.652,782.403,782.444,781.914,782.437,780.209,780.614,782.548,784.380,786.143,791.123,797.726,799.166
6,College tuition and fees,1.515,881.128,880.819,880.584,878.569,878.405,877.503,876.996,877.052,878.506,879.192,886.919,895.395,896.770
6,Elementary and high school tuition and fees,0.419,902.317,901.720,901.660,901.660,901.871,902.618,903.166,909.111,912.506,917.416,923.485,924.229,923.991
6,Day care and preschool(12),0.746,313.928,313.885,314.138,314.785,315.633,312.970,313.787,315.422,316.380,317.395,317.848,321.245,322.356
6,Technical and business school tuition and fees(5),0.035,261.906,261.970,261.802,262.113,261.812,260.927,261.641,261.544,261.892,264.194,264.975,264.170,265.216
5,Postage and delivery services(5),0.109,203.092,203.146,203.321,205.418,209.167,209.285,209.232,209.281,209.453,209.659,209.971,209.672,217.775
6,Postage,0.099,320.396,320.396,320.396,322.935,329.355,329.355,329.355,329.355,329.355,329.355,329.497,329.597,343.466
6,Delivery services(5),0.010,318.912,319.895,323.047,334.396,334.989,337.113,336.157,337.048,340.160,343.871,348.020,341.577,342.949
5,Telephone services(4)(5),2.265,94.212,94.117,94.057,94.165,94.321,94.139,94.046,94.251,94.437,94.370,94.446,94.680,94.795
6,Wireless telephone services(4)(5),1.856,48.427,48.352,48.306,48.312,48.311,48.150,48.111,48.123,48.149,48.065,47.978,48.178,48.176
6,Land-line telephone services(4)(11),0.409,130.917,131.126,131.237,132.040,133.303,133.940,133.687,135.191,136.346,136.898,138.643,137.938,138.884
5,Internet services and electronic information providers(5),0.867,78.039,78.372,78.415,78.485,78.344,78.632,79.231,79.062,78.842,78.889,79.718,80.167,80.081
4,Other personal services(4)(11),1.637,129.205,128.795,129.959,129.591,130.199,131.356,131.385,131.212,131.445,132.998,133.586,133.739,134.432
5,Personal care services(4),0.682,287.565,287.932,290.861,293.012,293.726,294.980,294.971,293.245,293.908,300.262,301.932,300.838,299.962
6,Haircuts and other personal care services(4)(5),0.682,175.462,175.685,177.473,178.785,179.221,179.986,179.980,178.928,179.332,183.209,184.228,183.561,183.026
5,Miscellaneous personal services(4),0.956,456.580,453.714,457.446,452.841,455.705,461.258,461.446,462.325,462.991,465.255,466.928,469.066,474.208
6,Legal services(4)(9),0.242,369.071,369.112,369.112,369.417,371.052,371.083,371.157,371.157,371.157,371.157,371.130,377.635,384.455
6,Funeral expenses(4)(9),0.135,344.749,344.931,345.188,345.498,347.410,347.621,347.504,348.826,348.793,348.509,349.337,349.311,349.997
6,Laundry and dry cleaning services(4)(5),0.221,180.578,181.128,181.813,183.159,183.249,183.077,183.798,184.510,185.870,187.672,191.405,191.766,193.065
6,Apparel services other than laundry and dry cleaning(4)(5),0.029,209.782,208.461,209.372,209.546,209.114,209.867,210.288,210.758,211.478,211.975,210.415,212.044,214.124
6,Financial services(9),0.220,366.858,356.985,366.894,349.467,355.234,372.478,371.628,371.925,371.227,374.833,372.500,371.140,376.184
7,Checking account and other bank services(4)(5)(6),,169.913,155.795,168.982,150.043,156.049,176.279,170.273,169.941,170.234,170.376,169.603,169.681,171.288
7,Tax return preparation and other accounting fees(4)(5)(6),,260.786,261.952,260.387,261.103,262.726,263.432,,267.767,267.042,270.068,269.443,267.609,
,,,,,,,,,,,,,,,
0,Special aggregate indexes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,All items less food,86.023,258.891,258.826,258.959,260.098,261.688,263.775,266.093,268.394,270.975,272.186,272.680,273.165,275.379
1,All items less shelter,67.424,237.328,237.052,237.289,238.594,240.288,242.430,244.958,247.484,250.261,251.473,252.072,252.664,255.337
1,All items less food and shelter,53.447,229.102,228.936,229.010,230.398,232.376,234.896,237.700,240.537,243.483,244.528,245.033,245.218,247.875
1,"All items less food, shelter, and energy",46.125,237.207,237.342,236.831,237.329,238.376,239.333,242.101,244.439,247.036,247.614,247.913,247.878,249.864
1,"All items less food, shelter, energy, and used cars and trucks",42.834,241.816,242.169,241.759,242.424,243.504,244.174,245.687,247.125,247.993,248.462,249.078,249.780,251.429
1,All items less medical care,91.480,247.916,247.790,248.096,249.098,250.497,252.421,254.703,256.971,259.628,260.938,261.479,262.275,264.530
1,All items less energy,92.678,268.671,268.680,268.613,269.199,270.060,270.989,273.092,274.891,277.161,278.235,278.691,279.366,281.238
1,Commodities,38.743,186.502,185.594,186.063,187.790,189.402,191.877,194.456,197.117,200.209,201.615,202.496,203.313,206.134
2,"Commodities less food, energy, and used cars and trucks",17.395,145.476,145.197,144.915,145.857,146.418,146.590,147.536,148.545,149.161,149.603,150.858,152.127,153.483
2,Commodities less food,24.766,150.625,149.704,149.989,151.918,153.865,156.922,159.832,162.903,166.238,167.412,168.214,168.472,171.217
2,Commodities less food and beverages,23.759,147.003,146.034,146.342,148.303,150.285,153.389,156.346,159.470,162.845,164.035,164.825,165.071,167.881
1,Services,61.257,333.385,334.031,334.030,334.451,335.655,336.822,338.518,340.052,341.863,343.035,343.246,343.892,345.540
2,Services less rent of shelter(15),29.026,350.038,351.287,350.968,351.226,352.974,354.212,356.494,358.568,360.462,361.153,361.047,361.090,363.265
2,Services less medical care services,54.233,315.782,316.523,316.606,316.720,317.746,318.951,320.837,322.545,324.542,325.694,325.805,326.567,328.118
1,Durables,11.588,107.819,107.612,107.691,107.517,107.893,108.597,111.983,115.051,119.434,120.310,120.666,120.107,122.097
1,Nondurables,27.155,226.074,224.697,225.432,228.543,230.980,234.611,236.092,237.991,239.487,241.137,242.338,244.222,247.330
2,Nondurables less food,13.178,189.614,187.750,188.305,193.157,197.194,203.354,204.988,207.498,208.587,210.008,211.357,212.840,216.257
2,Nondurables less food and beverages,12.172,185.252,183.195,183.826,188.975,193.264,199.791,201.493,204.141,205.223,206.718,208.085,209.623,213.281
2,"Nondurables less food, beverages, and apparel",9.444,230.385,228.608,231.006,237.386,243.062,253.342,256.202,260.377,262.552,265.795,266.720,267.867,273.316
2,Nondurables less food and apparel,10.451,231.996,230.503,232.599,238.365,243.488,252.783,255.411,259.205,261.275,264.219,265.155,266.249,271.121
1,Housing,41.727,273.014,273.290,273.684,274.336,275.137,276.028,277.258,278.648,280.366,281.604,282.391,283.744,285.310
1,Education and communication(5),6.569,141.469,141.534,141.549,141.556,141.679,141.289,141.742,142.002,142.174,142.386,143.011,143.807,143.974
2,Education(5),2.934,272.465,272.359,272.437,272.238,272.539,271.559,271.829,272.544,273.169,273.812,275.373,277.551,278.047
2,Communication(5),3.635,75.228,75.313,75.311,75.361,75.412,75.255,75.630,75.721,75.748,75.808,76.061,76.341,76.391
3,Information and information processing(5),3.527,71.093,71.176,71.171,71.199,71.208,71.054,71.420,71.508,71.532,71.588,71.831,72.107,72.070
3,"Information technology, hardware and services(17)",1.262,7.243,7.280,7.288,7.280,7.261,7.242,7.361,7.357,7.338,7.364,7.423,7.470,7.443
1,Recreation(5),5.673,122.581,123.016,122.692,122.140,123.021,123.567,124.546,124.769,124.893,125.588,126.245,126.438,127.301
2,Video and audio(5),1.510,108.183,107.882,108.207,107.888,108.911,109.417,109.612,109.731,110.503,111.160,111.756,111.917,111.704
2,"Pets, pet products and services(5)",1.163,179.618,180.412,181.066,182.431,182.884,183.075,183.781,184.359,184.134,185.297,185.437,186.043,186.424
2,Photography(5),0.070,76.332,76.341,74.997,75.719,77.109,76.729,76.591,76.800,76.697,77.597,77.624,77.749,77.827
1,Food and beverages,14.983,269.169,268.539,269.383,270.260,270.672,271.135,272.367,273.441,275.380,277.187,278.201,280.452,282.943
2,Domestically produced farm food(4),6.445,260.122,258.692,259.404,259.851,260.634,261.273,263.207,264.290,266.106,267.797,268.392,271.322,274.278
1,Other services,11.422,370.766,371.190,371.076,369.899,371.267,372.434,373.376,373.725,374.539,376.077,377.579,379.144,380.812
1,Apparel less footwear,2.075,111.282,108.165,106.018,109.762,112.107,112.717,112.301,112.430,111.785,110.570,112.577,114.746,115.803
1,Fuels and utilities,4.491,244.978,245.807,247.236,248.879,251.277,251.797,253.460,255.631,260.400,262.320,264.303,266.559,270.577
2,Household energy,3.410,199.995,200.670,202.017,203.476,205.820,206.271,207.988,210.371,215.355,217.106,218.980,221.196,225.447
1,Medical care,8.520,520.725,519.848,518.766,522.133,524.207,524.734,524.585,523.918,522.989,524.219,525.247,524.818,527.564
1,Transportation,16.716,203.086,202.828,203.560,205.631,209.054,215.761,222.547,229.689,237.701,239.722,238.333,236.373,241.042
2,Private transportation,15.673,200.711,200.039,201.523,203.963,207.664,214.743,220.742,227.144,235.331,238.055,237.994,236.655,241.413
3,New and used motor vehicles(5),8.163,103.350,103.442,103.242,102.492,102.704,103.909,108.477,112.405,118.941,120.058,119.475,117.947,120.192
1,Utilities and public transportation,8.803,220.322,221.306,220.601,220.629,221.675,222.081,225.076,228.265,231.273,231.239,229.805,229.568,231.301
1,Household furnishings and operations,4.659,126.821,127.134,127.367,127.716,127.935,128.350,129.321,131.086,131.131,131.024,132.076,133.462,134.745
1,Other goods and services,3.084,463.919,464.211,466.332,467.995,469.886,472.607,473.649,473.011,473.718,477.103,479.048,479.525,483.592
2,Personal care(4),2.476,238.600,238.477,239.497,239.535,240.366,241.735,242.303,241.814,241.907,243.789,244.968,244.840,246.307
